symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh688248,南网科技,57.030,0.930,1.658,57.030,57.120,56.100,54.780,58.300,54.780,5138428,294217091,688248,15:00:01
sh688266,泽璟制药,99.500,-2.700,-2.642,99.500,99.600,102.200,101.310,102.210,99.220,2615749,261857573,688266,15:00:00
sh688278,特宝生物,64.000,-2.400,-3.614,64.000,64.100,66.400,65.860,65.970,63.680,2302305,148466154,688278,15:00:01
sh688281,华秦科技,70.920,0.890,1.271,70.920,71.010,70.030,71.060,73.200,69.330,3653932,260627946,688281,15:00:01
sh688295,中复神鹰,50.010,-1.990,-3.827,50.010,50.020,52.000,52.380,52.660,50.000,19331655,978780288,688295,15:34:59
sh688297,中无人机,47.880,-1.110,-2.266,47.880,47.890,48.990,49.070,49.300,47.790,7133947,343904381,688297,15:00:01
sh688301,奕瑞科技,106.620,-1.450,-1.342,106.500,106.620,108.070,108.680,108.680,104.880,1831330,195194234,688301,15:00:01
sh688318,财富趋势,101.650,-2.630,-2.522,101.640,101.650,104.280,106.000,106.000,101.300,1668473,170923213,688318,15:00:03
sh688322,奥比中光,76.130,0.600,0.794,76.110,76.130,75.530,75.540,76.280,74.410,3241482,244607058,688322,15:00:00
sh688336,三生国健,92.300,1.920,2.124,92.300,92.310,90.380,88.800,96.600,88.000,19247546,1770980958,688336,15:34:59
sh688347,华虹公司,107.410,-1.580,-1.450,107.400,107.410,108.990,110.060,110.870,107.200,7821376,851590937,688347,15:34:59
sh688349,三一重能,22.620,-0.440,-1.908,22.600,22.620,23.060,23.060,23.210,22.420,4539507,102659759,688349,15:00:03
sh688361,中科飞测,151.690,1.310,0.871,151.690,151.700,150.380,151.500,154.130,149.260,2881815,437810449,688361,15:00:00
sh688363,华熙生物,40.700,-0.980,-2.351,40.700,40.710,41.680,41.810,41.820,40.610,1929381,78900913,688363,15:00:03
sh688375,国博电子,105.090,-0.900,-0.849,105.090,105.100,105.990,107.400,108.750,104.000,2403512,254942919,688375,15:00:01
sh688385,复旦微电,65.450,2.860,4.569,65.430,65.450,62.590,63.240,66.300,62.600,13080614,848686767,688385,15:00:03
sh688387,信科移动,14.330,-0.120,-0.830,14.330,14.340,14.450,14.650,14.920,14.110,56300488,816398851,688387,15:00:03
sh688425,铁建重工,4.880,-0.140,-2.789,4.880,4.890,5.020,5.010,5.030,4.880,29505186,144843445,688425,15:34:59
